2018-08-31 16:46:23 - basic_db.py[line:76] - detail - INFO - insert into tb_credit(data_source,credit_level,reco_code,name,which_year) values ('XinJiang', 'A', '65232368272710X', '呼图壁县兴丰农机销售有限公司', '2016')
2018-08-31 16:46:23 - basic_db.py[line:76] - detail - INFO - insert into tb_credit(data_source,credit_level,reco_code,name,which_year) values ('XinJiang', 'A', '652301229210655', '新疆际华七五五五职业装有限公司', '2016')
2018-08-31 16:46:23 - basic_db.py[line:76] - detail - INFO - insert into tb_credit(data_source,credit_level,reco_code,name,which_year) values ('XinJiang', 'A', '652324552407685', '玛纳斯县呱呱香鹌鹑养殖有限责任公司', '2016')
2018-08-31 16:46:23 - basic_db.py[line:76] - detail - INFO - insert into tb_credit(data_source,credit_level,reco_code,name,which_year) values ('XinJiang', 'A', '652324595944034', '石河子市西部建设有限责任公司', '2016')
2018-08-31 16:46:23 - basic_db.py[line:76] - detail - INFO - insert into tb_credit(data_source,credit_level,reco_code,name,which_year) values ('XinJiang', 'A', '652325584798975', '奇台县喜得农机商贸有限公司', '2016')
2018-08-31 16:46:23 - basic_db.py[line:76] - detail - INFO - insert into tb_credit(data_source,credit_level,reco_code,name,which_year) values ('XinJiang', 'A', '652325057710564', '奇台县新兴农业科技有限责任公司', '2016')
2018-08-31 16:46:23 - basic_db.py[line:76] - detail - INFO - insert into tb_credit(data_source,credit_level,reco_code,name,which_year) values ('XinJiang', 'A', '652301929212029', '中国工商银行股份有限公司昌吉回族自治州分行', '2016')
2018-08-31 16:46:23 - basic_db.py[line:76] - detail - INFO - insert into tb_credit(data_source,credit_level,reco_code,name,which_year) values ('XinJiang', 'A', '652301734459670', '新疆昌吉市屯宝矿业有限责任公司', '2016')
2018-08-31 16:46:23 - basic_db.py[line:76] - detail - INFO - insert into tb_credit(data_source,credit_level,reco_code,name,which_year) values ('XinJiang', 'A', '652324666659530', '新疆天康畜牧科技有限公司玛纳斯商品猪育肥基地', '2016')
2018-08-31 16:46:23 - basic_db.py[line:76] - detail - INFO - insert into tb_credit(data_source,credit_level,reco_code,name,which_year) values ('XinJiang', 'A', '652324592830306', '玛纳斯县碧源供水有限责任公司', '2016')
2018-08-31 16:46:23 - basic_db.py[line:76] - detail - INFO - insert into tb_credit(data_source,credit_level,reco_code,name,which_year) values ('XinJiang', 'A', '652201556482922', '哈密市光茂商贸有限责任公司', '2016')
2018-08-31 16:46:23 - basic_db.py[line:76] - detail - INFO - insert into tb_credit(data_source,credit_level,reco_code,name,which_year) values ('XinJiang', 'A', '652223676306990', '新疆蒙西矿业有限公司', '2016')
2018-08-31 16:46:23 - basic_db.py[line:76] - detail - INFO - insert into tb_credit(data_source,credit_level,reco_code,name,which_year) values ('XinJiang', 'A', '652201751674487', '新疆金双猫化工股份有限公司', '2016')
2018-08-31 16:46:23 - basic_db.py[line:76] - detail - INFO - insert into tb_credit(data_source,credit_level,reco_code,name,which_year) values ('XinJiang', 'A', '652201929130752', '国药控股新疆哈密药业有限公司医药商店', '2016')
2018-08-31 16:46:23 - basic_db.py[line:76] - detail - INFO - insert into tb_credit(data_source,credit_level,reco_code,name,which_year) values ('XinJiang', 'A', '652201748675235', '哈密市俊业矿业开发有限责任公司', '2016')
2018-08-31 16:46:23 - basic_db.py[line:76] - detail - INFO - insert into tb_credit(data_source,credit_level,reco_code,name,which_year) values ('XinJiang', 'A', '652201229134074', '哈密市哈特石油制品有限责任公司', '2016')
2018-08-31 16:46:23 - basic_db.py[line:76] - detail - INFO - insert into tb_credit(data_source,credit_level,reco_code,name,which_year) values ('XinJiang', 'A', '653124676345762', '中国邮政储蓄银行股份有限公司泽普县支行', '2016')
2018-08-31 16:46:23 - basic_db.py[line:76] - detail - INFO - insert into tb_credit(data_source,credit_level,reco_code,name,which_year) values ('XinJiang', 'A', '652201670245090', '哈密市万客龙摩托车有限责任公司', '2016')
2018-08-31 16:46:23 - basic_db.py[line:76] - detail - INFO - insert into tb_credit(data_source,credit_level,reco_code,name,which_year) values ('XinJiang', 'A', '65220158479777X', '乌鲁木齐铁路局哈密供电段', '2016')
2018-08-31 16:46:23 - basic_db.py[line:76] - detail - INFO - insert into tb_credit(data_source,credit_level,reco_code,name,which_year) values ('XinJiang', 'A', '652201787621352', '新疆海河石油化工有限责任公司', '2016')
2018-08-31 16:46:23 - basic_db.py[line:76] - detail - INFO - insert into tb_credit(data_source,credit_level,reco_code,name,which_year) values ('XinJiang', 'A', '652201229102347', '新疆生产建设兵团第十三师工程建设监理公司', '2016')
2018-08-31 16:46:23 - basic_db.py[line:76] - detail - INFO - insert into tb_credit(data_source,credit_level,reco_code,name,which_year) values ('XinJiang', 'A', '652201101632810', '新疆生产建设兵团第十三师红星二场', '2016')
2018-08-31 16:46:23 - basic_db.py[line:76] - detail - INFO - insert into tb_credit(data_source,credit_level,reco_code,name,which_year) values ('XinJiang', 'A', '652201766821726', '哈密市大地农机物资有限责任公司', '2016')
2018-08-31 16:46:23 - basic_db.py[line:76] - detail - INFO - insert into tb_credit(data_source,credit_level,reco_code,name,which_year) values ('XinJiang', 'A', '652201552449172', '哈密天际石油化工运输有限公司', '2016')
2018-08-31 16:46:23 - basic_db.py[line:76] - detail - INFO - insert into tb_credit(data_source,credit_level,reco_code,name,which_year) values ('XinJiang', 'A', '652201795764513', '哈密瑞安旅客运输有限责任公司', '2016')
